  CRUDE OIL,x
GASOLINE,
ALASKA NORTH SLOPE CRUDE,x
TURBINE FUEL,
JET FUEL,
FUEL OIL,
NATURAL GAS LIQUID,
ANHYDROUS AMMONIA,
L. P. G.,
"FERTITL.,AMMON.NITR.",
DIESEL FUEL,
TOLUENE,
CONDENSATE - WATER,
KEROSENE,
OIL AND GASOLINE,
GASOLINE AND FUEL OIL,
PIPELINE SOLVENT (#2 OIL),
XYLENE,
TRANSMIX (PART. REFINED PETRO),
BUTANE,
CONDENSATE,
ETHYLENE,
NOT GIVEN,
CARBON DIOXIDE,
TRANSMIX (PART.REFINED PETRO),
BENZENE/BENZOL,
Q-GRADE,
PROPANE,
DATA NOT SPECIFIED,
HYDRODESULFURIZED LIGHT NAPHTHA,
GASOLINE & DIESEL,
TRANSMIX(GASO/FUEL OIL/JET FUEL MIX),
DIESEL,
NAPHTHA,
ETHANE,
"FUEL , DIESEL - LOW SULPHUR",
TRANSMIX,
ALASKA NORTH SLOPE CRUDE OIL,x
PROPANE - ETHANE MIX,
UNLEADED GASOLINE,
OIL MIX,
DIESEL HIGH SULFUR,
HIGH SULFUR DIESEL,
REGULAR GASOLINE,
ETHANE PROPANE MIX,
"TRANSMIX(GASOLINE,FUEL OIL, JET FUEL MIX)",
JET A TURBINE FUEL,
NORMAL BUTANE,
JET A-1 FUEL,
LOW SULFUR DIESEL,
JET A KEROSENE,
ANS CRUDE OIL,x
X-GRADE FUEL OIL,
Y GRADE (RAW MAKE),
HEATING OIL,
LPG MIX,
ANS-ALASKA NORTH SLOPE CRUDE,x
NATURAL GASOLINE,
FUEL OIL ,
CO2,
TURBINE FUEL (JET A),
ETHYLENE/PROPYLENE MIX,
REFINERY GRADE GASOLINE & ISOBUTANE,
"JET FUEL, JP8",
GAS OIL,
ARABIAN MEDIUM,x
HIGH SULFUR VACCUM GAS OIL,
GASOLINE/TURBINE FUEL,
RAW LPG,
PROPYLENE,
REFINED PRODUCT,
GASOLINE (83 CN 18),
NGL MIX,
BAKKEN CRUDE OIL,x
"MILITARY JET FUEL, JP-8",
BASRAH CRUDE,x
AMMONIA ANHYDROUS,
BASS RIVER CRUDE OIL - NON-H2S,x
COKER CRUDE,x
PROPANE VAPORS,
LOW SULFUR DIESEL FUEL,
DEMETHANIZED RAW PRODUCT UNODORIZED,
GASOLINE/DIESEL FUEL,
"GASOLINE, FUEL OIL",
COLD LAKE CRUDE OIL,x
CRIDE OIL,x
NATURAL GAS LIQUIDS (NGL),
CRUDE,x
GASOLINE DIESEL FUEL,
NO. 2 FUEL OIL,
JP-8,
CRUDE ,x
MIXED PETROLEUM PRODUCTS,
